"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","Entrez"
"206793_at",3.97651708381736,4.93414540927262,10.0902928109884,1.34356513107968e-16,4.91888791382064e-14,27.3238154728043,"PNMT","5409"
"235444_at",2.44151251569188,6.41768377584813,10.0566647854382,1.58202851325344e-16,5.74066346526054e-14,27.1639725889935,"FOXP1","27086"
"208072_s_at",1.40896491605271,6.91312635768911,10.0522453911871,1.61636852041777e-16,5.81382235186056e-14,27.1429633560295,"DGKD","8527"
"228302_x_at",2.91275746358656,3.3024666416245,10.0235924346079,1.85785404950544e-16,6.62429977790617e-14,27.0067362276475,"CAMK2N1","55450"
"226597_at",3.05489291207488,3.60574764810352,10.021188871943,1.87968338894836e-16,6.64435669658951e-14,26.9953076365266,"REEP6","92840"
"221016_s_at",-3.08222783920747,7.51589063988031,-10.0078874667016,2.00521409942857e-16,6.97055410601812e-14,26.9320582865292,"TCF7L1","83439"
"221934_s_at",2.00832752728061,7.21870042080789,10.0078105610505,2.00596377063247e-16,6.97055410601812e-14,26.931692578255,"DALRD3","55152"
"219572_at",2.85267853864227,6.64758071848155,10.0040700389315,2.04276687798084e-16,7.03879101384256e-14,26.9139051219097,"CADPS2","93664"
"227570_at",2.07132355868017,4.68006665851274,9.98589513832659,2.23144322633676e-16,7.6248415043927e-14,26.8274715369055,"TMEM86A","144110"
"1553394_a_at",5.38050872362576,4.55895295943043,9.97784620680321,2.32048239780768e-16,7.85511735036515e-14,26.7891905884366,"TFAP2B","7021"
"224836_at",2.15749711684698,7.16957375571925,9.97637405327447,2.33714836782887e-16,7.85511735036515e-14,26.7821887883339,"TP53INP2","58476"
"206164_at",4.08800276249023,4.59625547417757,9.9679527605556,2.43481380146736e-16,8.11683781425754e-14,26.7421346068609,"CLCA2","9635"
"225288_at",-3.18451785510429,7.81317529783118,-9.92792045380975,2.95797624763195e-16,9.78135952079842e-14,26.5517029431152,"COL27A1","85301"
"214451_at",6.32100723995736,5.52164106006849,9.92054316558411,3.06601173361044e-16,1.0057499609997e-13,26.5166050096212,"TFAP2B","7021"
"223582_at",2.83420571526573,3.70850323054787,9.89297144389674,3.50593452645094e-16,1.14093126446504e-13,26.385418783558,"ADGRV1","84059"
"226978_at",-1.62198808099023,7.43844309005414,-9.80230118234634,5.4493449792235e-16,1.75940898841008e-13,25.9538876876884,"PPARA","5465"
"223103_at",2.10812526163266,7.63470650851323,9.78111596988619,6.04098654546652e-16,1.93519228367429e-13,25.8530356568356,"STARD10","10809"
"226302_at",1.90233207810957,8.58650117022846,9.77746743415975,6.14918320186246e-16,1.94408093919367e-13,25.8356659900748,"ATP8B1","5205"
"232322_x_at",1.85718181060753,7.99323712416275,9.77698754635896,6.16355775278452e-16,1.94408093919367e-13,25.833381359342,"STARD10","10809"
"226921_at",1.33924630701979,8.63499177336369,9.77335945809616,6.2733271594323e-16,1.96272551104755e-13,25.8161087667775,"UBR1","197131"
"227020_at",1.85922097603806,7.23960488593235,9.77188800478454,6.31840228900295e-16,1.96272551104755e-13,25.8091034085889,"YPEL2","388403"
"223438_s_at",-1.84195343226487,4.91543764116835,-9.75863718536472,6.73920023868882e-16,2.06876377628469e-13,25.7460166172147,"PPARA","5465"
"1553613_s_at",-4.78801892715401,8.53977327965966,-9.75798362165793,6.76066593557089e-16,2.06876377628469e-13,25.742904939179,"FOXC1","2296"
"222457_s_at",2.08638302902397,7.54686854768699,9.73797940160396,7.45184774600414e-16,2.26337455538633e-13,25.6476594997337,"LIMA1","51474"
"212458_at",2.89061619614385,6.58883924504495,9.73629653553799,7.51312233596541e-16,2.26520638429357e-13,25.6396466245915,"SPRED2","200734"
"228708_at",3.43798894300796,8.68838388879781,9.73418705116822,7.59064304013074e-16,2.27187392129577e-13,25.6296023654912,"RAB27B","5874"
"206165_s_at",5.7692514092201,4.34678591409713,9.73135326376721,7.69604215897683e-16,2.28672835280207e-13,25.6161092434091,"CLCA2","9635"
"227290_at",2.02922502415861,6.46198713354339,9.7264890697884,7.880385228819e-16,2.32465694908269e-13,25.5929480143547,"CDYL2","124359"
"222700_at",-1.47082036550552,11.0868951884075,-9.72433589848208,7.9633906065397e-16,2.32612238051041e-13,25.5826954078842,"ATL2","64225"
"232914_s_at",2.24682180753117,8.98439394172945,9.7234239103311,7.99881122944025e-16,2.32612238051041e-13,25.5783528355594,"SYTL2","54843"
"225461_at",1.28051126442767,8.46299063416166,9.72086917189456,8.09887606289435e-16,2.33863601466845e-13,25.5661879862182,"EHMT1","79813"
"208103_s_at",-2.89587413519343,8.2187083942053,-9.69683186538184,9.10391669182372e-16,2.61046853168909e-13,25.4517252428162,"ANP32E","81611"
"222336_at",1.16035404099319,5.160030160602,9.68242584794552,9.76511578663847e-16,2.7806167202453e-13,25.3831216025811,"SMIM14","201895"
"206166_s_at",4.28536638525771,4.47716915704802,9.65443025218696,1.11905939212062e-15,3.16454560789751e-13,25.2497945838505,"CLCA2","9635"
"228256_s_at",3.18233234964549,4.22527796447101,9.65256055911396,1.12928963777146e-15,3.17160221282062e-13,25.2408899615724,"EPB41L4A","64097"
"226017_at",-2.09303572428528,8.63513774661624,-9.6439833739446,1.17743308568846e-15,3.26299350948889e-13,25.2000396377885,"CMTM7","112616"
"214733_s_at",1.16507919350457,8.2762936837717,9.64392875130874,1.17774616965261e-15,3.26299350948889e-13,25.1997794853677,"YIPF1","54432"
"206560_s_at",-3.80553202486324,5.22146912820358,-9.62509502420102,1.29081667030906e-15,3.5522581710975e-13,25.1100777329297,"MIA","8190"
"221880_s_at",1.78028100664769,5.52555141719624,9.61961465714213,1.32571408728817e-15,3.62397202901094e-13,25.0839750002254,"FAM174B","400451"
"219300_s_at",4.15094855930805,5.64056241195361,9.60569628216943,1.41864383056588e-15,3.84629840114022e-13,25.0176810980151,"CNTNAP2","26047"
"223437_at",-2.14048529694487,7.75055225611132,-9.60466178378236,1.42580567011343e-15,3.84629840114022e-13,25.0127536579934,"PPARA","5465"
"219625_s_at",1.08388786659338,8.48636694434919,9.58640526243637,1.55831719908537e-15,4.1762900935488e-13,24.9257940846307,"CERT1","10087"
"225612_s_at",-2.76204590970386,10.2510617675788,-9.5819388759845,1.59256909410301e-15,4.24037033341558e-13,24.9045193343665,"B3GNT5","84002"
"223055_s_at",-1.39633541052277,5.52025968363543,-9.56058522957154,1.76702641626984e-15,4.63982453024043e-13,24.8028033276906,"XPO5","57510"
"208682_s_at",1.39107980360304,9.02540428716815,9.55948222905532,1.77653997475307e-15,4.63982453024043e-13,24.7975492029716,"MAGED2","10916"
"244007_at",-1.6836246951476,5.75503488697373,-9.55146090487544,1.84728375112186e-15,4.79405208424056e-13,24.7593395130092,"ZNF462","58499"
"201941_at",1.94473491937227,8.40480626071713,9.52469617308491,2.10436249442945e-15,5.42687293846449e-13,24.6318425231572,"CPD","1362"
"227481_at",-2.58333762039856,6.65198527489166,-9.52276089745671,2.12428235388347e-15,5.44400460241486e-13,24.6226234574253,"CNKSR3","154043"
"213260_at",-2.98841128353222,7.01128204388913,-9.497339722005,2.40414136850132e-15,6.12294488658561e-13,24.5015231596942,"FOXC1","2296"
"223491_at",-1.22321090078055,8.78548020492428,-9.49382656854227,2.44561398127033e-15,6.19012072148202e-13,24.4847871553179,"COMMD2","51122"
"205307_s_at",2.15013699009402,3.68432477689615,9.4848029563053,2.55544608883095e-15,6.4284362838297e-13,24.4418001799285,"KMO","8564"
"224835_at",1.63122166616274,7.435184135176,9.4807183447856,2.60677132210056e-15,6.48519702768122e-13,24.4223416992439,"GPCPD1","56261"
"221505_at",-1.66598429798978,11.0739446012881,-9.48049228754773,2.6096417656019e-15,6.48519702768122e-13,24.4212647949726,"ANP32E","81611"
"209787_s_at",-1.27055506471258,11.1383763973004,-9.45622662489159,2.93688391432641e-15,7.15743465692736e-13,24.3056660370938,"HMGN4","10473"
"229163_at",2.18946906916635,6.19318601690995,9.45617392859315,2.93763746927952e-15,7.15743465692736e-13,24.3054149970891,"CAMK2N1","55450"
"229648_at",1.90605721055421,3.87268127737679,9.45531329836458,2.94997184913843e-15,7.15743465692736e-13,24.3013150385096,"ARHGAP32","9743"
"230645_at",-3.97527557168782,6.133975885876,-9.44996341028431,3.02781550794347e-15,7.30309100515966e-13,24.2758286752612,"FRMD3","257019"
"226661_at",-2.02025095309563,7.26496626053196,-9.44720512386418,3.06874920158161e-15,7.31826404546642e-13,24.262688448431,"CDCA2","157313"
"205044_at",-6.36777122781747,8.94023000655594,-9.44713470015447,3.06980152136432e-15,7.31826404546642e-13,24.262352956179,"GABRP","2568"
"217284_x_at",4.01102086661735,4.37522221267137,9.43548651545635,3.24891740916563e-15,7.68310209776828e-13,24.2068620143506,"SERHL2","253190"
"229088_at",2.02039704565532,4.15199184351027,9.43476716715034,3.26031549363887e-15,7.68310209776828e-13,24.2034351003308,"ENPP1","5167"
"217276_x_at",4.19316511543611,4.90109205641529,9.41653353089595,3.56296824103634e-15,8.34833998602594e-13,24.1165716680156,"SERHL2","253190"
"226117_at",-1.42818404293888,9.46367597536578,-9.39159486401416,4.02291448589441e-15,9.29612637633956e-13,23.997766679835,"TIFA","92610"
"205364_at",3.42928222139722,4.68215147732506,9.39095400129411,4.03548555016204e-15,9.29612637633956e-13,23.9947136984543,"ACOX2","8309"
"202908_at",1.70369362310004,6.76310266436306,9.38333853222614,4.18791039464332e-15,9.59335630290249e-13,23.958434738351,"WFS1","7466"
"225293_at",-2.3577346634425,9.70542974965408,-9.37919003332968,4.2733516410379e-15,9.73469503828433e-13,23.938671976591,"COL27A1","85301"
"212181_s_at",1.3408674065514,8.89326575431104,9.37123612122313,4.44207282764361e-15,1.00631355925248e-12,23.9007810103809,"NUDT4","11163"
"213059_at",2.34687054849849,6.5054216833595,9.36400705682837,4.6011891070091e-15,1.03663273705385e-12,23.8663432801757,"CREB3L1","90993"
